Version,id
13.9.5,866821408
13.9.5,868929981
13.10.0,866821408
13.10.0,869240420
13.11.0,866821408
13.11.0,870047514
13.11.1,866821408
13.11.1,870183735
13.12.0,866821408
13.12.0,870697393
13.12.1,866821408
13.12.1,870925492
14.0.0,866821408
14.0.0,871297407
14.0.1,866821408
14.0.1,871498265
14.1.0,866821408
14.1.0,871827728
14.1.1,866821408
14.1.1,872438856
14.2.0,866821408
14.2.0,872883385
14.2.5,866821408
14.2.5,873295155
14.3.0,866821408
14.3.0,873581011
14.3.5,866821408
14.3.5,874032579
14.4.0,866821408
14.4.0,874337450
14.4.5,866821408
14.4.5,874799280
14.5.0,866821408
14.5.0,875108404
14.5.5,866821408
14.5.5,875500319
14.6.0,866821408
14.6.0,875910348
14.6.1,866821408
14.6.1,876035594
14.6.5,866821408
14.6.5,876380052
14.7.0,876810569
14.7.0,866821408
14.7.1,866821408
14.7.1,876990774
14.7.5,877245223
14.8.0,877531320
14.8.1,877741843
14.8.5,877986850
14.9.0,878348212
14.9.1,878421383
14.9.5,878822436
14.10.0,879293729
14.10.0,879414965
14.10.1,879445874
14.10.5,879763816
14.11.0,880075132
14.11.5,880229814
20.0.0,880832872
20.0.1,881014377
